id_fuente,corpus_actual,corpus_final,decision_revision,motivo_revision,observaciones_revision,revisor,fecha_revision,titulo_original,titulo_es_sugerido,cultura,fecha_objeto,procedencia,tipo_objeto,tipo_superficie,material,material_normalizado,tecnica,estado_curacion,destino_curacion,motivo_curacion,url_objeto,url_imagen,ruta_imagen_local,licencia,origen_curacion
307851,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/307851,https://images.metmuseum.org/CRDImages/ao/original/DP18456.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308036,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308036,https://images.metmuseum.org/CRDImages/ao/original/33.149.1-67-70-76.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
307677,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/307677,https://images.metmuseum.org/CRDImages/ao/original/DP18485.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308035,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308035,https://images.metmuseum.org/CRDImages/ao/original/DP18570.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308039,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308039,https://images.metmuseum.org/CRDImages/ao/original/DP18447.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308101,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308101,https://images.metmuseum.org/CRDImages/ao/original/DP18482.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308060,principal,principal,mantener,,,,,Embroidered Border Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308060,https://images.metmuseum.org/CRDImages/ao/original/DP18547.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308072,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308072,https://images.metmuseum.org/CRDImages/ao/original/DP18535.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308037,principal,principal,mantener,,,,,Embroidered Border Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,fragmento_textil_util,https://www.metmuseum.org/art/collection/search/308037,https://images.metmuseum.org/CRDImages/ao/original/DP18551.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308068,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308068,https://images.metmuseum.org/CRDImages/ao/original/DP18539.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308098,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308098,https://images.metmuseum.org/CRDImages/ao/original/DP18454.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308040,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308040,https://images.metmuseum.org/CRDImages/ao/original/DP18451.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
308070,principal,principal,mantener,,,,,Embroidered Mantle Fragment,,Paracas,,,,,Camelid hair,,,corpus_principal,principal,superficie_textil_util,https://www.metmuseum.org/art/collection/search/308070,https://images.metmuseum.org/CRDImages/ao/original/DP18537.jpg,,Dominio público / Open Access según metadata de The Met,auditoria_aceptados_no_piloto
